SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,time(hour),gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,10:16:38,9/2/22,Auto gsw+F,LI-COR Default,,1,LCOR-038,10,0.331322,2.91794,0.297537,3.468785,1.893635,1.796967,3.035954,1.142319,17.889521,18.851889,30.224136,0.441786,PSF-00336_20220902101638,0,0,0,114.355087,283.235229,0.596254,0.5,0.8,239.001465,68.87,65.35,22.58,24.23,100.45,156.2,154.5,1.1,1002,4.113,-3,178,115,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:13:21,9/2/22,0.11,0.001,0.001,0.041,0.721,1.882,9.472,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,262.485992,25,-14.658439,261.60907,262.294342,-0.685272,2.486637,2.479228,1.657898,0.92547,0.300376,0.018893,0.07791,1.019486,114.355087,0.001176,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902101638,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
2,10:17:50,9/2/22,Auto gsw+F,LI-COR Default,,2,LCOR-444,10,0.424311,2.915521,0.370404,4.65622,1.929419,1.799446,3.160254,1.230835,17.912374,19.206175,31.458382,0.441786,PSF-00336_20220902101750,0,0,0,151.17717,269.300873,0.438631,0.5,0.8,276.042267,69.11,64.46,22.83,24.9,100.46,155.9,155.6,0.2,1573,4.112,-31,175,99,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:13:21,9/2/22,0.11,0,0.004,-0.001,0.377,1.938,10.212,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,251.72496,25,-12.695466,249.825241,251.164276,-1.339035,2.485377,2.479474,1.655341,0.928414,0.297379,0.023885,0.08742,1.539755,151.17717,0.000781,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902101750,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
3,10:18:30,9/2/22,Auto gsw+F,LI-COR Default,,3,LCOR-050,10,0.461014,2.91955,0.398144,4.694951,1.963582,1.832977,3.118328,1.154746,18.244663,19.544643,31.038486,0.441786,PSF-00336_20220902101830,0,0,0,116.213676,292.933594,0.603276,0.5,0.8,303.443787,69.87,65.22,22.95,24.67,100.47,156.4,151.8,3,1257,4.11,-1,157,114,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:13:21,9/2/22,0.11,0.003,0.002,0.011,-0.239,-0.583,-0.894,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,266.549713,25,-18.325329,266.829376,266.754242,0.075134,2.486348,2.480445,1.659608,0.918748,0.296061,0.019926,0.092538,1.252092,116.213676,0.001083,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902101830,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
4,10:20:06,9/2/22,Auto gsw+F,LI-COR Default,,4,LCOR-597,10,0.41499,2.915309,0.363278,4.163424,1.89119,1.77491,3.014389,1.123198,17.668358,18.825869,30.006756,0.441786,PSF-00336_20220902102006,0,0,0,116.679314,312.950653,0.627164,0.5,0.8,253.042038,65.64,61.6,23.36,24.11,100.46,155.9,150.7,3.3,1009,4.108,-9,172,118,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:13:21,9/2/22,0.11,0.006,0.002,0.013,-0.69,1.043,2.254,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,286.094055,25,-18.969315,284.328094,285.851318,-1.523224,2.481439,2.474653,1.655118,0.916102,0.291225,0.008408,0.104388,1.025479,116.679314,0.000995,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902102006,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
5,10:21:38,9/2/22,Auto gsw+F,LI-COR Default,,5,LCOR-451,10,0.219597,2.917128,0.204223,2.154049,1.845638,1.785535,2.880299,1.034661,17.773947,18.372234,28.671671,0.441786,PSF-00336_20220902102138,0,0,0,87.957146,271.184998,0.675656,0.5,0.8,174.880936,62.79,60.75,23.69,23.35,100.46,156.1,153.2,1.9,647,4.106,-16,-179,344,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:13:21,9/2/22,0.11,0,0.003,0.013,0.627,0.423,1.524,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,249.814865,25,-14.616479,252.597565,250.304062,2.293503,2.480208,2.470726,1.657038,0.922361,0.287403,-0.004307,0.115228,0.696136,87.957146,0.001122,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902102138,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
6,10:22:54,9/2/22,Auto gsw+F,LI-COR Default,,6,LCOR-592,10,0.568244,2.914961,0.475541,5.274831,2.003646,1.856445,3.089754,1.086108,18.478983,19.944216,30.755295,0.441786,PSF-00336_20220902102254,0,0,0,123.336914,294.501678,0.581201,0.5,0.8,254.789398,67.22,62.28,23.92,24.52,100.46,155.9,155.1,0.5,1096,4.105,-4,157,141,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:13:21,9/2/22,0.11,0.003,0.004,-0.015,-1.591,-3.169,-3.989,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,273.908966,25,-14.362898,273.201233,273.983002,-0.781769,2.482166,2.476592,1.65475,0.927063,0.284724,0.006592,0.123824,1.104978,123.336914,0.001149,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902102254,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
7,10:24:31,9/2/22,Auto gsw+F,LI-COR Default,,7,LCOR-097,10,0.190737,2.915339,0.179024,2.41358,1.898081,1.83067,3.21811,1.320029,18.221153,18.892113,32.030716,0.441786,PSF-00336_20220902102431,0,0,0,136.496902,306.153625,0.554156,0.5,0.8,247.128906,62.28,60.07,24.29,25.2,100.47,155.9,154.8,0.7,1115,4.102,6,-177,121,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,0.001,0.001,0.006,1.073,-1.395,0.909,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,283.469452,25,-16.251072,280.444611,282.937531,-2.49292,2.479127,2.469959,1.655149,0.926323,0.280561,0.010284,0.134398,1.122219,136.496902,0.001168,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902102431,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
8,10:26:17,9/2/22,Auto gsw+F,LI-COR Default,,8,LCOR-566,10,0.509319,2.917243,0.433615,5.437713,2.012637,1.861167,3.239622,1.226985,18.524885,20.03252,32.245148,0.441786,PSF-00336_20220902102617,0,0,0,118.883011,274.259796,0.566531,0.5,0.8,267.232544,64.54,59.68,24.68,25.31,100.47,156.2,155.5,0.4,1179,4.1,-15,162,134,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,-0.004,0.001,0.012,1.841,2.621,4.85,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,249.577042,25,-17.103031,247.749207,249.826599,-2.077393,2.478496,2.472875,1.65716,0.92817,0.276283,0.00704,0.145614,1.180837,118.883011,0.000864,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902102617,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
